// cResource subclass information. [07-01-2021 00-57-23]
// Image Base: 0X140000000

Class [rAI], file extension: ais
Class [rAIConditionTree], file extension: cdt
Class [rAIDynamicLayout], file extension: dpth
Class [rAIFSM], file extension: fsm
Class [rAIFSMList], file extension: fsl
Class [rAINavWay], file extension: navway
Class [rAIPathBase], file extension: are
Class [rAIPathBaseXml], file extension: are.xml
Class [rAIPathEvaluationParam], file extension: aptm
Class [rAIPointEvaluaterList], file extension: pel
Class [rAISetCostInfo], file extension: apep
Class [rAISubsystem], file extension: sub
Class [rAIWayPoint], file extension: way
Class [rAIWayPointGraph], file extension: gway
Class [rASkillData], file extension: ask
Class [rASkillParam], file extension: asp
Class [rAcEquip], file extension: aeq
Class [rActionAttr], file extension: aid
Class [rActionAttrXml], file extension: aid.xml
Class [rActionParam2], file extension: actp2
Class [rAnimalBasicParam], file extension: abpr
Class [rAnimalCommonParam], file extension: acpr
Class [rAnimalSize], file extension: ransz
Class [rAnimationTree], file extension: at
Class [rAreaDispControl], file extension: radc
Class [rAreaLoadList], file extension: area
Class [rArmManager], file extension: arm_mgr
Class [rArmorData], file extension: am_dat
Class [rArmorSeries], file extension: amrs
Class [rArmorUpgradeData], file extension: arm_up
Class [rAttackParam], file extension: atk
Class [rAudioDirector], file extension: sad
Class [rAutoOtomoTalk], file extension: auto_ot
Class [rBakeInstancePlacement], file extension: bkipr
Class [rBindInstance], file extension: bind
Class [rBottleTable], file extension: bbtbl
Class [rBountySupport], file extension: bsprt
Class [rBowUniqueData], file extension: bowuq
Class [rBuiRem], file extension: brem
Class [rButtonGuideData], file extension: bgd
Class [rButtonGuidePriorityData], file extension: bgpd
Class [rButtonGuideSignData], file extension: bgsd
Class [rButtonGuideWpData], file extension: bgwd
Class [rCameraInterpolationParam], file extension: cmip
Class [rCameraList], file extension: lcm
Class [rCameraOffset], file extension: cmof
Class [rCameraRotation], file extension: cmrt
Class [rCameraSetting], file extension: cms
Class [rCameraShake], file extension: csk
Class [rCameraShakeXml], file extension: csk.xml
Class [rCapsuleAOModel], file extension: caao
Class [rCatSkillData], file extension: cat_skill
Class [rChain], file extension: chn
Class [rChainCol], file extension: ccl
Class [rCharaMakePalette], file extension: pal
Class [rCharamakePreset], file extension: cmp
Class [rCharmData], file extension: ch_dat
Class [rCnsIK], file extension: ik
Class [rCnsJointOffset], file extension: jof
Class [rCnsNBIK], file extension: nbik
Class [rCnsTinyChain], file extension: ctc
Class [rCnsTinyIK], file extension: tik
Class [rCollGeom], file extension: coll_geom
Class [rCollIndex], file extension: coll_idx
Class [rCollNode], file extension: coll_node
Class [rCollision], file extension: sbc
Class [rCollisionHeightField], file extension: sbch
Class [rCollisionObj], file extension: obc
Class [rContactManager], file extension: ctm
Class [rContinueSetting], file extension: con_set
Class [rContinueSettingList], file extension: con_lis
Class [rConvexHull], file extension: hul
Class [rCustomOuter], file extension: cus_ou
Class [rCustomOuterRecipe], file extension: cus_otr
Class [rCustomParts], file extension: cus_pa
Class [rCustomPartsRecipe], file extension: cus_par
Class [rDLCConsumeData], file extension: dlccsm
Class [rDLCContent], file extension: dlcc
Class [rDLCItemData], file extension: dlcit
Class [rDLCPackage], file extension: dlcpl
Class [rDLCPackageData], file extension: dlcpd
Class [rDebugItems], file extension: itlist
Class [rDecoData], file extension: deco
Class [rDecoGradeLot], file extension: dglt
Class [rDecoLot], file extension: diot
Class [rDiscoverEmSet], file extension: dems
Class [rDistRailCamera], file extension: drlc
Class [rDistRailCameraXml], file extension: drlc.xml
Class [rDynamicSbc], file extension: dsc
Class [rEdge], file extension: edge
Class [rEffectAsset], file extension: efx
Class [rEffectAttributeColorTable], file extension: eact
Class [rEffectColorTable], file extension: ect
Class [rEffectColorTableList], file extension: ectl
Class [rEffectDecalData], file extension: edd
Class [rEffectProvider], file extension: epv3
Class [rEffectSettingPresets], file extension: esp
Class [rEffectSystemSetting], file extension: ess
Class [rEffectTitleSetting], file extension: ets
Class [rEm061FlyPoints], file extension: flpt
Class [rEm061Params], file extension: flpr
Class [rEm104GradeLot], file extension: em104glt
Class [rEm104LimitBreak], file extension: em104lb
Class [rEm104LimitBreakRecipe], file extension: em104lbr
Class [rEm104Lot], file extension: em104iot
Class [rEm104WpCustomData], file extension: em104wcd
Class [rEm104WpExpData], file extension: em104exp
Class [rEm104WpUpgradeData], file extension: em104wud
Class [rEm117GradeLot], file extension: em117glt
Class [rEm117Lot], file extension: em117iot
Class [rEmAITransition], file extension: dtt_aitr
Class [rEmActRelation], file extension: ear
Class [rEmActionConvert], file extension: dtt_acv
Class [rEmAirIvyTrapParam], file extension: em_a_ivytrap
Class [rEmAngry], file extension: dtt_agr
Class [rEmAreaLinker], file extension: dtt_alnk
Class [rEmBank], file extension: ebr
Class [rEmBasicParam], file extension: dtt_bsc
Class [rEmCharmMountCommon], file extension: dtt_cmc
Class [rEmCharmMountPos], file extension: cmps
Class [rEmCharmMountUnique], file extension: dtt_cmu
Class [rEmClawGrabCommon], file extension: dtt_clawc
Class [rEmCombatValueChange], file extension: dtt_cvc
Class [rEmCommonParam], file extension: ecp
Class [rEmCreateScarEffectList], file extension: vfx_scar
Class [rEmDamageAction], file extension: em_dmg
Class [rEmDamageAttr], file extension: dtt_eda
Class [rEmDifficulty], file extension: dtt_dif
Class [rEmDropPop], file extension: dtt_drp
Class [rEmDtPreset], file extension: dtt_pst
Class [rEmDtTune], file extension: dtt
Class [rEmFigureCameraParam], file extension: efcp
Class [rEmFigureCameraParamXml], file extension: efcp.xml
Class [rEmFlyParam], file extension: dtt_fly
Class [rEmGroup], file extension: dtt_grp
Class [rEmHagitori], file extension: dtt_hgt
Class [rEmHateValueChange], file extension: dtt_hvc
Class [rEmIvyTrapParam], file extension: em_ivytrap
Class [rEmLifeSim], file extension: dtt_lfs
Class [rEmMeatSoften], file extension: dtt_msf
Class [rEmOffset], file extension: dtt_ofs
Class [rEmPartsBreakCtrl], file extension: em_pbc
Class [rEmPartsGroup], file extension: dtt_epg
Class [rEmPlRefCamParam], file extension: dtt_plc
Class [rEmRandomSize], file extension: dtt_rsz
Class [rEmRank], file extension: dtt_rnk
Class [rEmRideCatch], file extension: dtt_erd
Class [rEmSense], file extension: dtt_sns
Class [rEmSizeSetting], file extension: em_ss
Class [rEmStamina], file extension: dtt_sta
Class [rEmUniqueParam], file extension: dtt_unq
Class [rEndContentsEmData], file extension: ecem
Class [rEnemyAnimalInfo], file extension: emai
Class [rEnemyInfo], file extension: emi
Class [rEnemyMiniInfo], file extension: emmi
Class [rEnemyRemInfo], file extension: emr
Class [rEnemySort], file extension: emst
Class [rEpvSoundParam], file extension: epvsp
Class [rEquipCreate], file extension: eq_crt
Class [rEquipCustom], file extension: eq_cus
Class [rEquipDemoOtWeaponOfs], file extension: edowo
Class [rEquipVisualArm], file extension: evam
Class [rEquipVisualArmXml], file extension: evam.xml
Class [rEquipVisualBody], file extension: evbd
Class [rEquipVisualBodyXml], file extension: evbd.xml
Class [rEquipVisualHelm], file extension: evhl
Class [rEquipVisualHelmXml], file extension: evhl.xml
Class [rEquipVisualSColor], file extension: evsc
Class [rEquipVisualSColorXml], file extension: evsc.xml
Class [rEquipVisualWp], file extension: evwp
Class [rEquipVisualWpXml], file extension: evwp.xml
Class [rEventDemoList], file extension: evdml
Class [rEventNpcList], file extension: enl
Class [rExpeditionAbility], file extension: eab
Class [rExpeditionEdit], file extension: eot
Class [rExpeditionMap], file extension: ex_map
Class [rExpeditionRem], file extension: ex_rem
Class [rExternalTexture], file extension: tex
Class [rEyeLookAt], file extension: ela
Class [rFKSpine], file extension: fkspn
Class [rFSMList], file extension: fsml
Class [rFacialMotionTransControll], file extension: fmtc
Class [rFacialPattern], file extension: fcp
Class [rFacialPatternNum], file extension: fpn
Class [rFishBasicParam], file extension: fbpr
Class [rFood], file extension: rfd
Class [rFrameOutTextureList], file extension: rtl
Class [rFrameOutTextureListIntermediate], file extension: _rtl
Class [rFurnitureCommonParam], file extension: ftcp
Class [rGLanceData], file extension: wep_glan
Class [rGUI], file extension: gui
Class [rGUICharacterExtraction], file extension: gce
Class [rGUIFont], file extension: gfd
Class [rGUIIconInfo], file extension: gii
Class [rGUIMessage], file extension: gmd
Class [rGUIParam], file extension: gup
Class [rGUIResourceConvert3D], file extension: gui_con
Class [rGUISoundList], file extension: gsl
Class [rGUISoundParam], file extension: gsp
Class [rGUIStyle], file extension: gst
Class [rGUITransformParam], file extension: guitrans
Class [rGUIUniqueSound], file extension: gui_us
Class [rGalleryList], file extension: gll
Class [rGeneralNpc], file extension: gen
Class [rGeometry2], file extension: geo2
Class [rGeometry2Group], file extension: geog
Class [rGeometry3], file extension: geo3
Class [rGimmickAppearance], file extension: gma
Class [rGimmickCommonData], file extension: gcd
Class [rGraphicsOptionPreset], file extension: gps
Class [rGraphicsOptionPresetIni], file extension: gps
Class [rGuideInsectParam], file extension: gip
Class [rGuildcardFacialPack], file extension: gcfp
Class [rGuildcardLightingData], file extension: gcld
Class [rGuildcardOpenData], file extension: gcod
Class [rGunUniqueData], file extension: gnuq
Class [rGunnerReloadData], file extension: gun_rd
Class [rGunnerShootData], file extension: gun_sd
Class [rHavokParam], file extension: hpa
Class [rHavokPowerTable], file extension: hpot
Class [rIKCtrl], file extension: ikctrl
Class [rImageEvaluator], file extension: iev
Class [rInsertTopicSet], file extension: itps
Class [rInstancePlacement], file extension: ipr
Class [rItemData], file extension: itm
Class [rItemLottery], file extension: itlot
Class [rItemMake], file extension: imk
Class [rItemMakeType], file extension: imt
Class [rItemShortcutPreset], file extension: isp
Class [rJointEx], file extension: jex
Class [rJointExRev], file extension: jexr
Class [rJointExXml], file extension: jex.xml
Class [rJointOrder], file extension: jor
Class [rJointRotation], file extension: jrot
Class [rJointVelocity], file extension: cjv
Class [rKireajiData], file extension: kire
Class [rLED], file extension: led
Class [rLch], file extension: lch
Class [rLchList], file extension: lchl
Class [rLeadersDelivery], file extension: stmp
Class [rLeadersMission], file extension: odr
Class [rLeadersMissionSpecial], file extension: lms
Class [rLeadersMissionSpecialSet], file extension: lmss
Class [rLeadersQuestEnemyData], file extension: lqem
Class [rLegManager], file extension: leg_mgr
Class [rLightLinker], file extension: llk
Class [rLightLinkerSpacialData], file extension: llsd
Class [rLightProbesMaya], file extension: lprbm
Class [rLightRandomRange], file extension: lrr
Class [rLimitBreakMaterialBase], file extension: lbm_base
Class [rLimitBreakMaterialSkill], file extension: lbm_skill
Class [rLoadStoryData], file extension: lstd
Class [rLoadTipsData], file extension: ltip
Class [rLoadTipsMapData], file extension: ltmap
Class [rLoginBonusItemDataSet], file extension: ipids
Class [rLoginBonusItemSet], file extension: ipis
Class [rLoginBonusTopic], file extension: lbtp
Class [rLoginBonusTopicSet], file extension: lbtps
Class [rMHLookAt], file extension: mhla
Class [rMHUpperBodyAdjust], file extension: mhuba
Class [rMakaExchange], file extension: mkex
Class [rMakaItem], file extension: mkit
Class [rMannequinPartsVisual], file extension: mpv
Class [rMannequinPartsVisualXml], file extension: mpv.xml
Class [rMaterial], file extension: mrl3
Class [rMeetingData], file extension: mtgd
Class [rMeetingList], file extension: mtgl
Class [rMenuOtomoTalk], file extension: mn_ot
Class [rModel], file extension: mod3
Class [rModelChainSetting], file extension: rmcs
Class [rModelPartsInfo], file extension: mpi
Class [rModelPreviewParam], file extension: mppar
Class [rMonsterPartsManager], file extension: mpm
Class [rMotBlendData], file extension: mbd
Class [rMotion], file extension: mot
Class [rMotionFilterRev], file extension: mfr
Class [rMotionList], file extension: lmt
Class [rMovieOnDisk], file extension: mp4
Class [rMovieOnDiskInterMediate], file extension: mp4
Class [rMovieOnMemory], file extension: mem.mp4
Class [rMovieOnMemoryInterMediate], file extension: mem.mp4
Class [rMusicSkillData], file extension: msk
Class [rMusicSkillEfcData], file extension: mske
Class [rNGWordList], file extension: ngw
Class [rNavigationMesh], file extension: nav
Class [rNetEventQuestInfo], file extension: evdb
Class [rNetEventQuestInfoDairy], file extension: devq
Class [rNetEventQuestInfoSet], file extension: evst
Class [rNewLimitBreak], file extension: new_lb
Class [rNewLimitBreakRecipe], file extension: new_lbr
Class [rNpcBasicData], file extension: nbsc
Class [rNpcBelongingsList], file extension: nblg
Class [rNpcLookAtList], file extension: nlal
Class [rNpcMoveParam], file extension: nmvp
Class [rNpcTalkMotionPack], file extension: ntmp
Class [rNpcTalkMotionPackList], file extension: ntmpl
Class [rNpcTextVoice], file extension: ntv
Class [rNpcWaitMotionPack], file extension: nwmp
Class [rNpcWaitMotionPackList], file extension: nwmpl
Class [rNpcWeaponList], file extension: nwpn
Class [rObjAppendParam], file extension: oap
Class [rObjCollision], file extension: col
Class [rOtomoArmorData], file extension: oam_dat
Class [rOtomoAttackActTbl], file extension: ot_aka
Class [rOtomoDropItemLottery], file extension: odil
Class [rOtomoEmoteReaction], file extension: oemr
